Баланс USD;Баланс руб;Баланс тг;Сумма;Доход;Вид счета;Категория;Тип операции;Дата
234;129547;3442;3489;true;$;Рестораны;Покупка;03.03.2006
15;45255;34526;4564;false;руб;Другое;Выдача наличных;25.05.2018
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
0;0;0;3489;True;$;Р РµСЃС‚РѕСЂР°РЅС‹;РџРѕРєСѓРїРєР°;03.03.2006 0:00:00
0;0;0;3489;True;$;Р РµСЃС‚РѕСЂР°РЅС‹;РџРѕРєСѓРїРєР°;03.03.2006 0:00:00
0;0;0;4564;False;СЂСѓР±;Р”СЂСѓРіРѕРµ;Р’С‹РґР°С‡Р° РЅР°Р»РёС‡РЅС‹С…;25.05.2018 0:00:00
0;0;0;3489;True;$;Р РµСЃС‚РѕСЂР°РЅС‹;РџРѕРєСѓРїРєР°;03.03.2006 0:00:00
0;0;0;3489;True;$;Р РµСЃС‚РѕСЂР°РЅС‹;РџРѕРєСѓРїРєР°;03.03.2006 0:00:00
0;0;0;4564;False;СЂСѓР±;Р”СЂСѓРіРѕРµ;Р’С‹РґР°С‡Р° РЅР°Р»РёС‡РЅС‹С…;25.05.2018 0:00:00
